GBAC,country,host,collection_date,serotype,Topotype
ON557390/ZMB/cow/2015/SAT3,ZMB,cow,2015,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MW355679/ZWE/african-buffalo/1990/SAT3,ZWE,african-buffalo,1990,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MW355678/ZMB/african-buffalo/1996/SAT3,ZMB,african-buffalo,1996,SAT3,III-NORTHWEST-ZIMBABWE-NWZ
MW355677/ZAF/cattle/1979/SAT3,ZAF,cattle,1979,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MW355676/ZWE/cattle/1976/SAT3,ZWE,cattle,1976,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MW355674/BWA/cattle/1967/SAT3,BWA,cattle,1967,SAT3,II-WESTERN-ZIMBABWE-WZ
MH053352/ZWE/african-buffalo/1990/SAT3,ZWE,african-buffalo,1990,SAT3,III-NORTHWEST-ZIMBABWE-NWZ
MH053351/ZWE/cattle/1984/SAT3,ZWE,cattle,1984,SAT3,II-WESTERN-ZIMBABWE-WZ
MH053350/ZWE/african-buffalo/1983/SAT3,ZWE,african-buffalo,1983,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MH053348/ZWE/cattle/1977/SAT3,ZWE,cattle,1977,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MH053347/ZWE/cattle/1976/SAT3,ZWE,cattle,1976,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MH053346/ZWE/cattle/1976/SAT3,ZWE,cattle,1976,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MH053344/ZWE/cattle/1974/SAT3,ZWE,cattle,1974,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
MH053343/ZWE/cattle/1934/SAT3,ZWE,cattle,1934,SAT3,III-NORTHWEST-ZIMBABWE-NWZ
MH053338/BWA/cattle/1966/SAT3,BWA,cattle,1966,SAT3,II-WESTERN-ZIMBABWE-WZ
KR108950/ZAF/african-buffalo/2009/SAT3,ZAF,african-buffalo,2009,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
KJ820999/UGA/cattle/2013/SAT3,UGA,cattle,2013,SAT3,V-East-Africa-EA
KM268901/ZWE/cattle/1991/SAT3,ZWE,cattle,1991,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
AY593853/BWA/Unknown/1965/SAT3,BWA,Unknown,1965,SAT3,II-WESTERN-ZIMBABWE-WZ
AY593852/KEN/Unknown/1960/SAT3,KEN,Unknown,1960,SAT3,II-WESTERN-ZIMBABWE-WZ
AY593851/BWA/Unknown/1961/SAT3,BWA,Unknown,1961,SAT3,II-WESTERN-ZIMBABWE-WZ
AY593850/ZAF/Unknown/1959/SAT3,ZAF,Unknown,1959,SAT3,I-SOUTHEAST-ZIMBABWE-SEZ
