"GBAC","country","host","collection_date","serotype","Topotype","color"
"AJ251473/KEN/Unknown/1957/SAT2","KEN","Unknown",1957,"SAT2","IX","#9FE4D8"
"AY593847/ZWE/Unknown/1948/SAT2","ZWE","Unknown",1948,"SAT2","III","#9B96BD"
"AY593848/Unknown/Unknown/1967/SAT2","Unknown","Unknown",1967,"SAT2","I","#FFA8A0"
"AY593849/KEN/Unknown/1960/SAT2","KEN","Unknown",1960,"SAT2","IX","#3D9487"
"HM067704/UGA/african-buffalo/2007/SAT2","UGA","african-buffalo",2007,"SAT2","X","#B67602"
"HM067705/UGA/african-buffalo/2007/SAT2","UGA","african-buffalo",2007,"SAT2","X","#FFCA9C"
"JF749861/Unknown/Unknown/2002/SAT2","Unknown","Unknown",2002,"SAT2","IV","#AEAE00"
"JF749862/Unknown/Unknown/2002/SAT2","Unknown","Unknown",2002,"SAT2","X","#DAA04F"
"JF749864/Unknown/Unknown/2003/SAT2","Unknown","Unknown",2003,"SAT2","I","#D03701"
"JX014255/EGY/Unknown/2012/SAT2","EGY","Unknown",2012,"SAT2","VII","#759C05"
"JX014256/PSE/cattle/2012/SAT2","PSE","cattle",2012,"SAT2","VII","#79A00B"
"KC440884/EGY/Unknown/2012/SAT2","EGY","Unknown",2012,"SAT2","VII","#7DA411"
"KM268900/TZA/cattle/2012/SAT2","TZA","cattle",2012,"SAT2","IV","#B2B20B"
"KU821592/ZMB/cow/2009/SAT2","ZMB","cow",2009,"SAT2","III","#D1CDED"
"MH053328/BWA/african-buffalo/1968/SAT2","BWA","african-buffalo",1968,"SAT2","III","#B6B1D5"
"MH053331/BWA/african-buffalo/1972/SAT2","BWA","african-buffalo",1972,"SAT2","II","#457A9A"
"MH053332/BWA/african-buffalo/1974/SAT2","BWA","african-buffalo",1974,"SAT2","II","#9ACAEC"
"MH053333/ETH/cattle/1989/SAT2","ETH","cattle",1989,"SAT2","IV","#AEAE01"
"MH053334/ZMB/cattle/1964/SAT2","ZMB","cattle",1964,"SAT2","III","#817BA6"
