GBAC,country,host,collection_date,serotype,Topotype
JF749864/Unknown/Unknown/2003/SAT2,Unknown,Unknown,2003,SAT2,I
JF749862/Unknown/Unknown/2002/SAT2,Unknown,Unknown,2002,SAT2,X
JF749861/Unknown/Unknown/2002/SAT2,Unknown,Unknown,2002,SAT2,IV
KC440884/EGY/Unknown/2012/SAT2,EGY,Unknown,2012,SAT2,VII
OQ557397/ETH/cow/2022/SAT2,ETH,cow,2022,SAT2,XIV
OQ557396/ETH/cattle/1991/SAT2,ETH,cattle,1991,SAT2,XIV
OQ401874/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401873/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401872/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401871/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401869/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401868/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401867/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401866/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
OQ401865/NER/cattle/2020/SAT2,NER,cattle,2020,SAT2,VII
MW355673/ZWE/cattle/1989/SAT2,ZWE,cattle,1989,SAT2,II
MW355671/MOZ/Unknown/1970/SAT2,MOZ,Unknown,1970,SAT2,I
MW715629/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII
MW715628/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII
MW715627/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII
MW715626/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII
MW715624/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII
MW715623/NER/cow/2017/SAT2,NER,cow,2017,SAT2,VII
MW715622/NER/cow/2018/SAT2,NER,cow,2018,SAT2,VII
MT602092/KEN/cattle/2017/SAT2,KEN,cattle,2017,SAT2,IV
MT602090/ETH/cattle/2015/SAT2,ETH,cattle,2015,SAT2,VII
MT602089/EGY/cattle/2018/SAT2,EGY,cattle,2018,SAT2,VII
MN103523/NER/cow/2014/SAT2,NER,cow,2014,SAT2,VII
MN116692/KEN/cow/2014/SAT2,KEN,cow,2014,SAT2,IV
MH053335/ZWE/cattle/1965/SAT2,ZWE,cattle,1965,SAT2,I
MH053334/ZMB/cattle/1964/SAT2,ZMB,cattle,1964,SAT2,III
MH053333/ETH/cattle/1989/SAT2,ETH,cattle,1989,SAT2,IV
MH053332/BWA/african-buffalo/1974/SAT2,BWA,african-buffalo,1974,SAT2,II
MH053331/BWA/african-buffalo/1972/SAT2,BWA,african-buffalo,1972,SAT2,II
MH053328/BWA/african-buffalo/1968/SAT2,BWA,african-buffalo,1968,SAT2,III
KU821592/ZMB/cow/2009/SAT2,ZMB,cow,2009,SAT2,III
KM268900/TZA/cattle/2012/SAT2,TZA,cattle,2012,SAT2,IV
JX014256/PSE/cattle/2012/SAT2,PSE,cattle,2012,SAT2,VII
JX014255/EGY/Unknown/2012/SAT2,EGY,Unknown,2012,SAT2,VII
HM067705/UGA/african-buffalo/2007/SAT2,UGA,african-buffalo,2007,SAT2,X
HM067704/UGA/african-buffalo/2007/SAT2,UGA,african-buffalo,2007,SAT2,X
AY593849/KEN/Unknown/1960/SAT2,KEN,Unknown,1960,SAT2,IX
AY593848/Unknown/Unknown/1967/SAT2,Unknown,Unknown,1967,SAT2,I
AY593847/ZWE/Unknown/1948/SAT2,ZWE,Unknown,1948,SAT2,III
AJ251473/KEN/Unknown/1957/SAT2,KEN,Unknown,1957,SAT2,IX
OM562600/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562599/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562598/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562597/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562596/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562595/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562593/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562592/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562589/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562588/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562587/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562586/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562585/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562584/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562583/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562581/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562580/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562578/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562577/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562575/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562572/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562570/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562569/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562568/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562567/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562564/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562562/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562561/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562554/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562553/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562552/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562551/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562550/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562549/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562548/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562544/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562513/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562512/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562511/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562510/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562509/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562508/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562507/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562506/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562505/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562504/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562503/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562502/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562501/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562500/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562499/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562498/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562497/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562496/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562495/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562494/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562493/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562492/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562491/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562490/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562489/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562488/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562487/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562486/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562485/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562484/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562483/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562482/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562481/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562480/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562479/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562478/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562477/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562476/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562475/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562474/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562473/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562472/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562471/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562470/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562469/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562468/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562467/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
OM562466/KEN/cow/2016/SAT2,KEN,cow,2016,SAT2,IV
