Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	clockRate	mutationRate	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	popSize	CoalescentConstant	
0	-6009.789710707245	-5887.244270631678	-122.54544007556743	-5887.244270631678	293.2385868156714	1518.7269256099448	0.004031171395379589	0.08368496216306051	0.1044975312288568	0.5107647689599598	0.1780377582671398	0.038242045171888346	0.10064833796687589	0.24601436770896049	0.3004200633326381	0.2527897948577663	0.20077577410063502	98.0792090859088	-116.11774334188098	
1	-6007.761723382298	-5886.569021073896	-121.19270230840263	-5886.569021073896	287.34616756645016	1469.76459572053	0.003992918428503993	0.08368496216306051	0.1044975312288568	0.5107647689599598	0.1066568261464336	0.060658279793303294	0.10064833796687589	0.24172311003527958	0.28838137032762357	0.26820653162427616	0.2016889880128206	98.0792090859088	-114.83413435391613	
2	-6009.874037349411	-5876.714624056058	-133.15941329335334	-5876.714624056058	345.697803079191	1796.6760039884432	0.0031767762181658813	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.14538994488696197	0.06432981210412843	0.09547637230645188	0.24776317492288633	0.2921563923284646	0.25380483031610684	0.20627560243254206	91.59450659302168	-126.48143432294754	
3	-6009.874037349411	-5876.714624056058	-133.15941329335334	-5876.714624056058	345.697803079191	1796.6760039884432	0.0031767762181658813	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.14538994488696197	0.06432981210412843	0.09547637230645188	0.24776317492288633	0.2921563923284646	0.25380483031610684	0.20627560243254206	91.59450659302168	-126.48143432294754	
4	-6009.874037349411	-5876.714624056058	-133.15941329335334	-5876.714624056058	345.697803079191	1796.6760039884432	0.0031767762181658813	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.14538994488696197	0.06432981210412843	0.09547637230645188	0.24776317492288633	0.2921563923284646	0.25380483031610684	0.20627560243254206	91.59450659302168	-126.48143432294754	
5	-6009.874037349411	-5876.714624056058	-133.15941329335334	-5876.714624056058	345.697803079191	1796.6760039884432	0.0031767762181658813	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.14538994488696197	0.06432981210412843	0.09547637230645188	0.24776317492288633	0.2921563923284646	0.25380483031610684	0.20627560243254206	91.59450659302168	-126.48143432294754	
6	-6011.0569180881985	-5876.148636846927	-134.90828124127188	-5876.148636846927	323.9374211322573	1783.809066569802	0.0031767762181658813	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.09507319843277501	0.06432981210412843	0.09547637230645188	0.2357160021931568	0.3042035650581941	0.25380483031610684	0.20627560243254206	91.59450659302168	-128.61055423321747	
7	-6006.057177121801	-5875.159374139443	-130.8978029823584	-5875.159374139443	327.6547449503584	1726.5740040103879	0.0034011805352058525	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.10221284280944974	0.025269391207018023	0.07966676206260952	0.24262104253356048	0.2988901476052118	0.2603282406833264	0.19816056917790112	93.55081533334757	-125.56409149256157	
8	-6006.057177121801	-5875.159374139443	-130.8978029823584	-5875.159374139443	327.6547449503584	1726.5740040103879	0.0034011805352058525	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.10221284280944974	0.025269391207018023	0.07966676206260952	0.24262104253356048	0.2988901476052118	0.2603282406833264	0.19816056917790112	93.55081533334757	-125.56409149256157	
9	-6004.851063269831	-5874.042492667212	-130.8085706026185	-5874.042492667212	309.8220298781266	1675.2910825787103	0.0034246186929170995	0.08368496216306051	0.10138875348293983	0.5822467314791673	0.08964383766395147	0.048932723532906834	0.10098804661913172	0.2361983437040347	0.31770669716843986	0.2479343899496241	0.19816056917790112	93.55081533334757	-124.6995012524233	
