Position in JF749864/Unknown/Unknown/2003/SAT2, Recombination breakpoint number (200nt win), Upper 99% CI, Lower 99% CI, Upper 95% CI, Lower 95% CI
1,0,1,0,0,0
3,0,1,0,0,0
5,0,1,0,0,0
7,0,1,0,0,0
9,0,1,0,0,0
11,0,1,0,0,0
13,0,1,0,0,0
15,0,1,0,0,0
17,0,1,0,0,0
19,0,1,0,0,0
21,0,1,0,0,0
23,0,1,0,0,0
25,0,1,0,0,0
27,0,1,0,0,0
29,0,1,0,0,0
31,0,1,0,0,0
33,0,1,0,0,0
35,0,1,0,0,0
37,0,1,0,0,0
39,0,1,0,0,0
41,0,1,0,0,0
43,0,1,0,0,0
45,0,1,0,0,0
47,0,1,0,0,0
49,0,1,0,0,0
51,0,1,0,0,0
53,0,1,0,1,0
55,0,1,0,1,0
57,0,1,0,1,0
59,0,1,0,1,0
61,0,1,0,1,0
63,0,1,0,1,0
65,0,1,0,1,0
67,0,1,0,1,0
69,0,1,0,1,0
71,0,1,0,1,0
73,0,1,0,1,0
75,0,1,0,1,0
77,0,1,0,1,0
79,0,1,0,1,0
81,0,1,0,1,0
83,0,1,0,1,0
85,0,1,0,1,0
87,0,1,0,1,0
89,0,1,0,1,0
91,0,1,0,1,0
93,0,1,0,1,0
95,0,1,0,1,0
97,0,1,0,1,0
99,0,1,0,1,0
101,0,1,0,1,0
103,0,1,0,1,0
105,0,1,0,1,0
107,0,1,0,1,0
109,0,1,0,1,0
111,0,1,0,1,0
113,0,1,0,1,0
115,0,1,0,1,0
117,0,1,0,1,0
119,0,1,0,1,0
121,0,1,0,1,0
123,0,1,0,1,0
125,0,1,0,1,0
127,0,1,0,1,0
129,1,1,0,1,0
131,1,2,0,1,0
133,1,2,0,1,0
135,1,2,0,1,0
137,1,2,0,1,0
139,1,2,0,1,0
141,1,2,0,1,0
143,1,2,0,1,0
145,1,2,0,1,0
147,1,2,0,1,0
149,1,2,0,1,0
151,1,2,0,1,0
153,1,2,0,1,0
155,1,2,0,1,0
157,1,2,0,1,0
159,1,2,0,1,0
161,1,2,0,1,0
163,1,2,0,1,0
165,1,2,0,1,0
167,1,2,0,1,0
169,1,2,0,1,0
171,1,2,0,1,0
173,1,2,0,1,0
175,1,2,0,1,0
177,1,2,0,1,0
179,1,2,0,1,0
181,1,2,0,1,0
183,1,2,0,2,0
185,1,2,0,2,0
187,1,2,0,2,0
189,1,2,0,2,0
191,1,2,0,2,0
193,1,2,0,2,0
195,1,2,0,2,0
197,1,2,0,2,0
199,1,2,0,2,0
201,1,2,0,2,0
203,1,2,0,2,0
205,1,2,0,2,0
207,1,2,0,2,0
209,1,2,0,2,0
211,1,2,0,2,0
213,1,2,0,2,0
215,1,2,0,2,0
217,1,2,0,2,0
219,1,2,0,2,0
221,1,2,0,2,0
223,1,2,0,2,0
225,1,2,0,2,0
227,1,2,0,2,0
229,1,3,0,2,0
231,1,3,0,2,0
233,1,3,0,2,0
235,1,3,0,2,0
237,1,3,0,2,0
239,1,3,0,2,0
241,1,3,0,2,0
243,1,3,0,2,0
245,1,3,0,2,0
247,1,3,0,2,0
249,1,3,0,2,0
251,1,3,0,2,0
253,1,3,0,2,0
255,1,3,0,2,0
257,1,3,0,2,0
259,1,3,0,2,0
261,1,3,0,2,0
263,1,3,0,2,0
265,1,3,0,2,0
267,1,3,0,2,0
269,1,3,0,2,0
271,1,3,0,2,0
273,1,3,0,2,0
275,1,3,0,2,0
277,1,3,0,2,0
279,1,3,0,2,0
281,1,3,0,2,0
283,1,3,0,2,0
285,1,3,0,2,0
287,1,3,0,2,0
289,1,3,0,2,0
291,1,3,0,2,0
293,1,3,0,2,0
295,1,3,0,2,0
297,1,3,0,2,0
299,1,3,0,2,0
301,1,3,0,2,0
303,1,3,0,2,0
305,1,3,0,2,0
307,1,3,0,2,0
309,1,3,0,2,0
311,1,3,0,2,0
313,1,3,0,2,0
315,1,3,0,2,0
317,1,3,0,2,0
319,1,3,0,2,0
321,1,3,0,2,0
323,1,3,0,2,0
325,1,3,0,2,0
327,1,3,0,2,0
329,0,3,0,2,0
331,0,3,0,2,0
333,0,3,0,2,0
335,0,3,0,2,0
337,0,3,0,2,0
339,0,3,0,2,0
341,0,3,0,2,0
343,0,3,0,2,0
