tip	date	distance	residual
OQ211400/Unknown/cattle/2007/O	2007.0	0.29664379614920655	-0.014676641222894027
OQ211393/Unknown/goat/2007/O	2007.0	0.2966707622492065	-0.014649675122894057
OQ211381/Unknown/gazelle/2007/O	2007.0	0.2938297215492065	-0.017490715822894076
OQ211373/Unknown/goat/2007/O	2007.0	0.2933646875492065	-0.01795574982289405
OQ211365/Unknown/sheep/2007/O	2007.0	0.29336109564920654	-0.01795934172289404
KC440883/EGY/Unknown/2011/O	2011.0	0.32748416544920655	0.0011063507733891642
HM229661/HKG/pig/2010/O	2010.0	0.3380164908492066	0.015403020499318187
MN389541/CHN/pig/2010/O	2010.0	0.33848979674920654	0.01587632639931813
JQ900581/CHN/pig/2010/O	2010.0	0.3361947338492065	0.013581263499318097
ON868617/VNM/pig/2019/O	2019.0	0.3949684415492065	0.038475872265954614
ON868615/VNM/pig/2018/O	2018.0	0.39692448564920646	0.044196260691884426
ON868607/VNM/pig/2019/O	2019.0	0.40021565694920647	0.04372308766595456
ON868593/VNM/pig/2018/O	2018.0	0.3964576537492065	0.04372942879188446
MH845413/VNM/pig/2014/O	2014.0	0.36870329424920656	0.031032446595601337
KX534089/KOR/pig/2016/O	2016.0	0.37767001814920653	0.03247048184374246
KX162590/KOR/pig/2014/O	2014.0	0.3685803607492065	0.030909513095601304
LC149717/JPN/cow/2010/O	2010.0	0.3392059233492065	0.016592452999318108
LC149704/JPN/cow/2010/O	2010.0	0.33920899524920656	0.016595524899318148
LC149638/JPN/cow/2010/O	2010.0	0.3392078524492066	0.016594382099318183
LC149676/JPN/pig/2010/O	2010.0	0.33921233384920657	0.01659886349931816
LC149653/JPN/pig/2010/O	2010.0	0.33875040404920653	0.016136933699318123
LC149650/JPN/cow/2010/O	2010.0	0.3382918245492066	0.01567835419931818
LC149669/JPN/cow/2010/O	2010.0	0.3387476472492066	0.016134176899318176
LC149660/JPN/cow/2010/O	2010.0	0.3405913048492065	0.017977834499318113
LC149647/JPN/cow/2010/O	2010.0	0.33874919394920655	0.01613572359931814
HM055510/VNM/Unknown/2009/O	2009.0	0.3340288800492065	0.015179754025247072
KF112881/MNG/cattle/2010/O	2010.0	0.3301900147492065	0.007576544399318097
AY593812/PHL/Unknown/1958/O	1958.0	0.2644739558492065	0.13760639044763667
ON736860/UGA/cow/2015/O	2015.0	0.2944840144492066	-0.046951177530328514
KU821591/ZMB/cow/2010/O	2010.0	0.2900782468492066	-0.03253522350068183
HM191257/UGA/cow/2006/O	2006.0	0.28508013724920656	-0.02247595579696504
NC_039210/GBR/Unknown/1965/O	1965.0	0.13126956254920652	-0.021948413133867972
JX869177/GBR/cattle/1967/O	1967.0	0.040214976750793476	-0.12053168758413899
AY593837/URY/Unknown/1963/O	1963.0	0.03623162295079348	-0.10945766408042217
EU448368/GBR/cow/1967/O	1967.0	0.038602547550793474	-0.12214411678413897
AF511039/Unknown/Unknown/1958/O	1958.0	0.23279135794920652	0.10592379254763667
EF175732/CHN/Unknown/1999/O	1999.0	0.39102374494920655	0.1098180621845396
AY317098/Unknown/Unknown/2002/O	2002.0	0.38223239614920645	0.08973368040675167
EU400597/CHN/Unknown/2001/O	2001.0	0.3865606125492065	0.09782624113268068
AF026168/TWN/Unknown/1997/O	1997.0	0.38011163924920655	0.10643464513639755
AY686687/Unknown/Unknown/2001/O	2001.0	0.38058377054920656	0.09184939913268075
KP940473/EGY/cattle/2014/O	2014.0	0.24789685044920654	-0.08977399720439869
KU726614/GRC/sheep/1994/O	1994.0	0.2916669256492065	0.029282964514185328
KY446903/PAK/water-buffalo/2005/O	2005.0	0.2605306327492065	-0.0432611159710361
OP751924/IDN/cattle/2022/O	2022.0	0.36867927714920656	8.93674888167717E-4
OP585403/IDN/cattle/2022/O	2022.0	0.3678931122492065	1.0750998816766444E-4
MH891503/VNM/cow/2017/O	2017.0	0.33228831514920654	-0.016675565482186516
MF461724/CHN/cattle/2017/O	2017.0	0.3286203668492066	-0.020343513782186462
LC320038/MNG/cow/2015/O	2015.0	0.32956911594920657	-0.01186607603032852
KX712091/BGD/pig/2015/O	2015.0	0.3214244188492066	-0.020010773130328507
MG983700/MUS/cattle/2016/O	2016.0	0.3254150799492066	-0.019784456356257474
KF985189/BGD/cattle/2013/O	2013.0	0.30472170474920657	-0.029184798578469673
OM160612/TUN/cattle/2014/O	2014.0	0.32817951044920657	-0.009491337204398653
