tip	date	distance	residual
OM863582/KEN/cattle/2010/SAT1	2010.0	0.5982250433999999	0.055099996502884996
JF749860/Unknown/Unknown/2002/SAT1	2002.0	0.5918002364	0.06104230919352627
LC770123/IRQ/cattle/2023/SAT1	2023.0	0.1354055281	-0.42781608829440704
MH053324/UGA/cattle/1971/SAT1	1971.0	0.1347074205	-0.3481279179052386
MH053325/UGA/cattle/1978/SAT1	1978.0	0.17627580539999999	-0.31738076273454974
MH053323/TCD/cattle/1972/SAT1	1972.0	0.15083602270000002	-0.3335452056665687
AY593844/ISR/Unknown/1962/SAT1	1962.0	0.0	-0.46892232875326734
MN275121/CMR/cow/2016/SAT1	2016.0	0.43248610930000003	-0.11991427736509591
MN275118/CMR/cow/2016/SAT1	2016.0	0.43248610930000003	-0.11991427736509591
MN275120/CMR/cow/2016/SAT1	2016.0	0.43248610930000003	-0.11991427736509591
MN275119/CMR/cow/2016/SAT1	2016.0	0.4327196554	-0.11968073126509593
MF678826/NER/cow/2015/SAT1	2015.0	0.4263141823	-0.12454031440376584
MF678825/NER/cow/2015/SAT1	2015.0	0.4263141823	-0.12454031440376584
MF678824/NER/cow/2015/SAT1	2015.0	0.4270285066	-0.12382599010376583
MF678823/NER/cow/2015/SAT1	2015.0	0.4263133139	-0.12454118280376586
MH053326/UGA/african-buffalo/1970/SAT1	1970.0	0.46508647640000006	-0.01620297204390847
HM067706/UGA/african-buffalo/2007/SAT1	2007.0	0.4464975131	-0.09198986391312464
MN116691/KEN/cow/2016/SAT1	2016.0	0.5534716833	0.0010712966349040176
MW355669/ZMB/cattle/1988/SAT1	1988.0	0.5990665665	0.08995109875214846
MN442539/ZAF/african-buffalo/1991/SAT1	1991.0	0.5584217671999999	0.04466862956815809
MN442538/ZAF/african-buffalo/1991/SAT1	1991.0	0.5584217671999999	0.04466862956815809
MH053321/MOZ/cattle/1981/SAT1	1981.0	0.5670071861	0.06871294808146
AY593846/ZWE/Unknown/1966/SAT1	1966.0	0.5786107316	0.10350484300141227
MN442540/ZAF/african-buffalo/1991/SAT1	1991.0	0.5849577955999999	0.07120465796815811
MH053322/NAM/african-buffalo/1989/SAT1	1989.0	0.5762140509	0.06555269319081836
AY593845/BWA/Unknown/1968/SAT1	1968.0	0.5929317440999999	0.11473407557875204
AY593840/NAM/Unknown/1949/SAT1	1949.0	0.5853278157999999	0.13650205654402514
AY593842/ZAF/Unknown/1961/SAT1	1961.0	0.5776148073999999	0.11023836860806313
AY593838/BWA/Unknown/1970/SAT1	1970.0	0.6065855685	0.12529612005609148
AY593841/ZWE/Unknown/1958/SAT1	1958.0	0.5850627688	0.12232399989205345
AY593843/NAM/Unknown/1940/SAT1	1940.0	0.5805298153	0.14561706569599653
KU821590/NAM/cow/2010/SAT1	2010.0	0.5767538224	0.03362877550288501
MW355668/TZA/cattle/1980/SAT1	1980.0	0.5440759302999999	0.04732758224278999
OM863583/KEN/cattle/2013/SAT1	2013.0	0.5640973928999999	0.016334676118894276
MT602085/KEN/cattle/2013/SAT1	2013.0	0.5643668463	0.01660412951889434
MN116690/KEN/cow/2014/SAT1	2014.0	0.5561874464	0.006878839657564195
OM562602/KEN/cow/2014/SAT1	2014.0	0.5561874464	0.006878839657564195
MN116689/KEN/cow/2014/SAT1	2014.0	0.5546083302	0.005299723457564243
OM562601/KEN/cow/2014/SAT1	2014.0	0.5546083302	0.005299723457564243
OM562555/KEN/cow/2016/SAT1	2016.0	0.564275141	0.011874754334904036
